Date,Min Temperature (C),Max Temperature (C)
01-04-2021,9.3,24.0
01-05-2021,12.7,16.6
01-06-2021,10.9,20.6
01-07-2021,8.7,23.0
01-08-2021,7.8,24.3
01-09-2021,7.7,26.1
01-10-2021,9.0,23.1
01-11-2021,8.6,20.1
01-12-2021,6.4,18.6
01-13-2021,6.2,17.8
01-14-2021,5.1,19.1
01-15-2021,8.2,20.3
01-16-2021,7.4,22.3
01-17-2021,7.0,18.8
01-18-2021,6.2,20.7
01-19-2021,6.0,23.0
01-20-2021,6.3,19.0
01-21-2021,5.2,19.6
01-22-2021,5.9,17.3
01-23-2021,7.9,21.6
01-24-2021,8.0,21.6
01-25-2021,7.7,20.1
01-26-2021,7.3,20.3
01-27-2021,5.6,21.3
01-28-2021,5.7,19.6
01-29-2021,4.5,20.0
01-30-2021,4.1,20.1
01-31-2021,4.4,20.5
02-01-2021,5.1,21.0
02-02-2021,6.8,25.0
02-03-2021,8.1,20.8
02-04-2021,9.2,17.6
02-05-2021,6.4,17.5
02-06-2021,4.9,20.8
02-07-2021,4.6,24.0
02-08-2021,7.1,24.1
02-09-2021,7.2,22.5
02-10-2021,10.6,23.6
02-11-2021,9.4,23.1
02-12-2021,10.5,22.2
02-13-2021,11.0,22.0
02-14-2021,10.8,22.8
02-15-2021,10.7,25.6
02-16-2021,9.9,26.0
02-17-2021,9.4,24.8
02-18-2021,9.6,25.3
02-19-2021,9.8,25.1
02-20-2021,10.2,23.9
02-21-2021,10.5,23.9
02-22-2021,11.4,26.1
02-23-2021,12.7,26.8
02-24-2021,12.2,29.3
02-25-2021,12.0,29.8
02-26-2021,11.7,30.3
02-27-2021,16.4,30.0
02-28-2021,14.1,28.0
03-01-2021,10.1,26.3
03-02-2021,9.4,27.0
03-03-2021,10.4,28.3
03-04-2021,10.7,28.8
03-05-2021,11.0,29.1
03-06-2021,10.6,29.6
03-07-2021,15.6,30.0
03-08-2021,17.0,30.0
03-09-2021,15.1,30.3
03-10-2021,15.5,30.0
03-11-2021,13.9,31.3
03-12-2021,15.1,25.3
03-13-2021,12.6,29.3
03-14-2021,12.3,29.0
03-15-2021,13.0,31.1
03-16-2021,13.9,30.3
03-17-2021,13.9,31.0
03-18-2021,14.4,32.3
03-19-2021,14.5,32.0
03-20-2021,14.2,31.8
03-21-2021,14.3,31.8
03-22-2021,15.2,30.1
03-23-2021,16.1,25.0
03-24-2021,14.1,30.3
03-25-2021,11.9,30.0
03-26-2021,11.6,31.6
03-27-2021,14.3,31.1
03-28-2021,15.8,32.1
03-29-2021,18.9,33.3
03-30-2021,17.3,35.0
03-31-2021,15.6,33.0
04-01-2021,12.3,30.8
04-02-2021,11.4,29.8
04-03-2021,9.9,31.1
04-04-2021,11.5,33.3
04-05-2021,19.4,36.0
04-06-2021,19.4,32.1
04-07-2021,18.7,33.0
04-08-2021,17.4,32.8
04-09-2021,14.3,33.6
04-10-2021,14.5,34.0
04-11-2021,14.7,35.0
04-12-2021,17.2,34.3
04-13-2021,16.8,35.3
04-14-2021,17.1,36.3
04-15-2021,18.6,37.0
04-16-2021,17.8,34.6
04-17-2021,18.7,32.6
04-18-2021,16.4,32.3
04-19-2021,15.2,34.0
04-20-2021,15.9,29.8
04-21-2021,18.9,31.1
04-22-2021,14.9,27.6
04-23-2021,14.9,25.3
04-24-2021,13.1,30.8
04-25-2021,14.4,34.6
04-26-2021,15.9,35.8
04-27-2021,17.6,37.0
